audio_id,duration_sec,is_music,has_vocals,content_branch,quality_branch,duration_branch,source_branch,final_branch,flags,flag_for_review,reasons
01M0E9X162CTB4D15WZQ5D8FVX,30.0,False,True,fail,pass,pass,pass,fail,[],False,"{""content"": ""music_score=0.053<=0.3"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=30.0s normal"", ""source"": ""source_quality_ok"", ""blacklist"": ""no_raw_tags""}"
01M0E9X17RZ522YBF6Z913H4VJ,30.0,False,False,fail,marginal,pass,pass,fail,"[""marginal_silence(65.7%)""]",False,"{""content"": ""music_score=0.019<=0.3"", ""quality"": ""marginal_silence(65.7%)"", ""duration"": ""duration=30.0s normal"", ""source"": ""source_quality_ok"", ""blacklist"": ""no_raw_tags""}"
01M0E9X19DMAXGT6QD167G1YJX,30.0,False,True,fail,pass,pass,pass,fail,[],False,"{""content"": ""music_score=0.098<=0.3"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=30.0s normal"", ""source"": ""source_quality_ok"", ""blacklist"": ""no_raw_tags""}"
01M0E9X1AGP5JXX7YEA7NAV25V,30.0,False,True,fail,pass,pass,pass,fail,[],False,"{""content"": ""music_score=0.076<=0.3"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=30.0s normal"", ""source"": ""source_quality_ok"", ""blacklist"": ""no_raw_tags""}"
01M0E9X1BHAGVNQYTXE4CMNJV0,30.0,False,True,fail,pass,pass,pass,fail,[],False,"{""content"": ""music_score=0.086<=0.3"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=30.0s normal"", ""source"": ""source_quality_ok"", ""blacklist"": ""no_raw_tags""}"
01M0E9X1CNR601CZY38WVQB82E,2.015,False,False,fail,fail,fail,pass,fail,"[""low_snr(0.0dB)"", ""high_silence(100.0%)"", ""too_short""]",False,"{""content"": ""music_score=0.000<=0.3"", ""quality"": ""low_snr(0.0dB); high_silence(100.0%)"", ""duration"": ""duration=2.0s<5s"", ""source"": ""source_quality_ok"", ""blacklist"": ""no_raw_tags""}"
01M0E9X1D5FB4ZND9B13XSD71K,98.457,True,False,marginal,pass,pass,pass,marginal,[],True,"{""content"": ""music_score=0.693 in [0.3,0.7]"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=98.5s normal"", ""source"": ""source_quality_ok"", ""blacklist"": ""no_raw_tags""}"
01M0RFPVN7FD6R26FDRFX77R9Z,210.39,True,False,pass,pass,pass,pass,pass,"[""mono""]",False,"{""content"": ""music_score=0.795>=0.7"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=210.4s normal"", ""source"": ""mono"", ""blacklist"": ""no_raw_tags""}"
01M0RFPVNJ21SF5Y7VHPP8QV6T,285.858,True,False,pass,pass,pass,pass,pass,"[""mono""]",False,"{""content"": ""music_score=0.942>=0.7"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=285.9s normal"", ""source"": ""mono"", ""blacklist"": ""no_raw_tags""}"
01M0RFPVP4DRN0N5QYQ124EVEY,312.267,True,False,pass,pass,pass,pass,pass,"[""mono""]",False,"{""content"": ""music_score=0.782>=0.7"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=312.3s normal"", ""source"": ""mono"", ""blacklist"": ""no_raw_tags""}"
